年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2017 赛季,9,47.8,36.6,78.2,7.9,37.7,110.0,45.6,26.9,8.1,5.0,14.4,19.3
2014 赛季,4,45.1,31.8,80.9,10.8,31.3,100.8,42.0,23.3,7.5,5.8,13.5,23.8
2010 赛季,6,45.7,0.0,74.2,7.7,25.8,89.3,33.5,20.2,7.2,,12.8,
2008 赛季,5,39.6,0.0,80.7,9.2,27.8,84.2,37.0,15.8,6.6,,18.4,
2007 赛季,12,46.4,0.0,77.4,10.3,31.8,96.6,42.1,19.3,7.3,,8.8,
2003 赛季,7,38.4,0.0,77.9,12.3,30.0,80.6,42.3,19.3,6.1,,17.1,
2002 赛季,6,43.8,0.0,74.3,12.3,26.8,92.8,39.2,20.0,7.3,,14.7,
2001 赛季,9,42.1,0.0,72.5,14.7,31.6,96.1,46.2,19.6,8.9,,14.8,
2000 赛季,10,43.4,0.0,74.8,13.2,29.9,95.7,43.1,19.7,8.6,,12.1,
1999 赛季,4,43.0,0.0,82.4,13.5,30.5,91.3,44.0,22.8,8.3,,15.5,
1997 赛季,9,45.4,0.0,68.4,9.1,27.0,82.8,36.1,21.2,6.4,,14.1,
1996 赛季,3,45.2,0.0,80.6,12.7,24.3,95.7,37.0,18.3,6.7,,13.3,
